,id,name,borough,PHONE,description,latitude,longitude
275,50071988,HALSEY BAR & GRILL,Brooklyn,3475872688,,40.632487346249,-73.93397154293899
277,50035784,BIG WONG RESTAURANT,Manhattan,2129640540,,40.7161177319,-73.998199940104
282,50068847,52ND SUSHI,Queens,7185079204,,40.744256419766,-73.912196326105
286,50015858,ETHYL'S,Manhattan,2123004132,,40.776901626669,-73.952462312075
290,50034213,HAN DYNASTY,Manhattan,2128589060,,40.787270433885006,-73.976144383291
298,41120682,SANT AMBROEUS,Manhattan,2125702211,,40.775316250548,-73.962865454507
299,41305588,BUNNY DELI,Manhattan,2127813303,,40.852525135916,-73.931370142031
301,41196158,ELEVEN B,Manhattan,2123889811,,40.727374956791,-73.97954294495901
304,50074305,NORTHERN WANGMANDOO DUMPLING,Queens,7184618878,,40.765290647682,-73.815846131964
313,50093945,L.Q. PALACE (KTV KARAOKE),Queens,2123003888,,40.755095821061,-73.835195867879
316,41548334,55 THOMAS CAFE,Manhattan,2128867347,,40.716751565083,-74.007142590427
317,41090957,PETRARCA,Manhattan,2126252800,,40.718744396864,-74.004599533402
318,41365922,ATHLETIC & SWIM CLUB (BISTRO CATERERS),Manhattan,2122653490,,40.761948488597,-73.982622296463
320,50075667,PIZZA MANNA,Queens,7184263500,,40.694620636619,-73.751621314568
321,41140140,OHANA JAPANESE HIBACHI SEAFOOD & STEAK,Bronx,7188850700,,40.852165588119,-73.789166393326
324,50035339,ARCHIE'S TAP AND TABLE,Bronx,7188859229,,40.852805950219,-73.789623433599
326,50047546,BKLN DINER,Brooklyn,7182092246,,40.619480522259,-73.918074014201
331,41405042,QUEEN OF TACOS,Bronx,7186521253,,40.880076704899004,-73.883596022761
336,41265582,TIAN JIN CHINESE RESTAURANT,Queens,7188137940,,40.759037589792,-73.831612499712
339,50071108,EMPANADA MAMA,Manhattan,2126989008,,40.764334406058005,-73.988336232021
342,41472695,TRAIF,Brooklyn,3478449578,,40.710475447971,-73.959117943876
343,50088516,FEROCE & THE FLEUR ROOM,Manhattan,2128881092,,40.746252170742004,-73.991017267574
344,50058524,YUM YUM CHINESE FOOD,Staten Island,7183701000,,40.625024447521,-74.148069191977
346,41630837,RED SUN RESTAURANT,Brooklyn,7182348880,,40.613006953284,-73.989526137007
349,41624508,NABLUS SWEETS,Brooklyn,7187481214,,40.634000396193,-74.02079941756
352,50045193,THE BREAD FACTORY CAFE,Manhattan,2122796665,,40.751941971219004,-73.989940931367
355,50062982,SAKANA SUSHI & ASIAN BISTRO,Brooklyn,7188333633,,40.624823847799,-74.024528613866
358,50047245,ALBION,Manhattan,9174005280,,40.743203523271,-73.976961377993
361,50035439,MICHELLE RESTAURANT,Manhattan,2122546150,,40.724085987108005,-73.975748586975
364,40653513,IHAWAN,Queens,7182051480,,40.746081296416996,-73.895365306299
365,41234608,LA ESCUELITA NUEVA BAR LOUNGE,Queens,7186516468,,40.747265052539,-73.887470490588
368,50058204,KING WAH RESTAURANT ZHANG,Queens,7186518080,,40.754306338769005,-73.897283372662
369,41396382,EL CONQUISTADOR RESTAURANT,Queens,7185655491,,40.749938303466,-73.899116376404
371,50004793,THE SHAKESPEARE,Manhattan,6468376776,,40.750628684462,-73.980062721269
376,41238082,URO CAFE,Brooklyn,7185991230,,40.72256474186,-73.948767265661
378,50105032,Black Star Bakery & Cafe,Manhattan,3479470005,,40.738785189454,-73.98096842049699
379,41715982,MUI KITCHEN & BAR,Manhattan,2122441900,,40.747437429821,-73.98620265187701
384,50058634,LA FLOR DEL CANARIO #2 RESTAURANT PIZZERIA,Brooklyn,7184855000,,40.672736151322,-73.89018149462301
386,50043322,THE CRUS-Z FAMILY RESTAURANT,Queens,3473372628,,40.748143103699,-73.879106766814
387,41680256,POPEYES,Brooklyn,3479555356,,40.647688359167,-73.95815836127
389,41649614,CHEZ MOI,Brooklyn,3472278337,,40.690569331938,-73.995550261493
393,41591881,WILLIAM BARNACLE,Manhattan,6462178815,,40.727842527282,-73.985921694776
397,50079736,WING CLUB,Manhattan,9179150674,,40.740417084328996,-74.004095823603
398,50059238,SANGARITA'S,Queens,7184282727,,40.764145510241,-73.771277184967
400,41574650,TROPICAL JERK,Queens,7187366500,,40.714048833561,-73.738328112413
406,50005649,NPR FOOD SOLUTIONS,Bronx,3476913879,,40.846745228997996,-73.84871368816499
411,41688043,GELSO & GRAND,Manhattan,2122261600,,40.7196639515,-73.997175306248
416,41188631,HUNAN DELIGHT,Brooklyn,7187891400,,40.675569922480996,-73.978340361895
418,50011154,SMITHFIELD HALL,Manhattan,2129299677,,40.744676819785,-73.993070937382
421,40962159,CAFE MILANO,Staten Island,7187201313,,40.63090388831,-74.10287182372599
426,50000587,CHIPOTLE MEXICAN GRILL,Manhattan,6464126237,,40.786315653789,-73.978120027156
427,50065691,LOVERBOY,Manhattan,6465287622,,40.724783679668995,-73.978356775465
430,41227842,NICKY'S COFFEE SHOP,Bronx,7182319516,,40.874624078425995,-73.879382152008
434,50069934,ROYALTON HOTEL,Manhattan,2127685100,,40.755388325686,-73.98141484222499
442,50093402,RICHIE RICH,Bronx,3472698266,,40.852913000596,-73.91996509866
444,50069461,DEEP INDIAN KITCHEN,Manhattan,6465907152,,40.755507506797,-73.99105571889399
446,50042128,THE BRONX BEER HALL,Bronx,3473960555,,40.854240101806,-73.88867329616001
450,41175823,DUNKIN,Queens,7182170688,,40.717978353401996,-73.736689271907
451,50001324,DUNKIN,Queens,7188353682,,40.678336193655,-73.831892764009
452,50012902,NEW MING LIANG KITCHEN,Bronx,7185470778,,40.880104972011,-73.8764900033
454,50093943,CREME,Manhattan,9173783958,,40.715722034668005,-73.989675870276
456,41616408,STARBUCKS,Manhattan,2123437402,,40.718027875457004,-74.00725095088
458,40692073,MEZCAL'S RESTAURANT,Brooklyn,7182372230,,40.675991915238,-73.998972530625
459,50007228,COLONIA VERDE,Brooklyn,6463704477,,40.689525388706,-73.970637235134
460,50001014,ANA'S BAKERY & CAFE,Bronx,3478514636,,40.855907781955,-73.85559732212201
462,50107618,REZDORA,Manhattan,6466929090,,40.738970165911,-73.989275310654
463,50005783,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Queens,7183411600,,40.665463296305,-73.754412127712
466,41137141,CHIPOTLE MEXICAN GRILL,Manhattan,2126456270,,40.746084944597,-73.99418596004001
469,50033749,BARRY'S BOOTCAMP NOHO,Manhattan,2122604777,,40.728781845627,-73.992343775932
470,50090510,RICO POLLO III,Brooklyn,7186860079,,40.647723197324,-74.007574814181
471,50039150,RESTAURANT TATIANA,Brooklyn,7188915151,,40.575721132043,-73.961137392526
472,50040175,THINK COFFEE,Manhattan,6466494053,,40.752118070946004,-74.001158582559
477,50037830,CONSTANTINE RESTAURANT AND BAR,Brooklyn,9173328878,,40.651862471994,-74.004890420093
479,50060066,CASCADE JERK,Queens,7188482318,,40.679123736202,-73.79165163747
480,41360734,GEE WHIZ,Manhattan,2126087200,,40.716001936603,-74.011016780261
483,40887949,DANNY'S PIZZERIA & CAFE,Brooklyn,7183811669,,40.707760613456,-73.939844442799
485,50008767,MR. PIZZA,Staten Island,7183700102,,40.591427332392996,-74.164787505238
487,50042768,PAPA JOHN'S,Queens,9172956250,,40.686035623672,-73.83978420017901
491,50003531,NEW SPRING GARDEN,Bronx,7188288953,,40.852177988981,-73.864873661121
495,50000537,TRADING POST,Manhattan,6463703337,,40.706069068284,-74.004201908708
501,50000372,EL MOLCAJETE RESTAURANT.,Bronx,9176881433,,40.828523888114,-73.879747893022
502,50045895,TAVERN 157,Queens,7188867488,,40.76371331477,-73.808024180411
504,41370362,HOUNDSTOOTH PUB,Manhattan,2126430034,,40.753605486254,-73.992416708652
505,50056793,ASIAN KABAB & CURRY,Brooklyn,3477872869,,40.675967781521,-73.87016031661899
510,50034905,COLOR ME GREENS,Brooklyn,7184503469,,40.699368944864,-73.912811061657
514,50032994,MILK & PULL,Queens,9173865873,,40.701825670703,-73.906056355788
519,50095776,LA TUNA MEXICAN RESTAURANT,Brooklyn,3474883711,,40.604615085884,-73.968690413784
520,50044807,MAMA PUEBLA,Bronx,7187926262,,40.831940123414,-73.827318570187
524,50060293,AOC EAST,Manhattan,6469985749,,40.774675000757,-73.950965542193
525,50077932,EL CARIDAD RESTAURANT,Bronx,7189753691,,40.853223424692004,-73.905834467264
528,41712295,BEN'S PIZZA AND RESTAURANT,Brooklyn,7187454243,,40.626859263581,-74.029659312915
532,50043911,BREAD & JOE,Brooklyn,3472234865,,40.664713452915,-73.993605539333
535,50010278,"Rochelle's, 205 CLUB",Manhattan,2126732400,,40.722474345876996,-73.99195487391
540,41577295,LECHONERA TROPICAL & GRILL,Manhattan,2127221344,,40.789966950447,-73.946884242563
544,50000974,TABLE 71 @ MARRIOTT CORTYARD,Manhattan,2122394569,,40.750066930841996,-73.986368127449
547,50069696,BRASSERIE SEOUL,Brooklyn,9177703852,,40.687576277753,-73.982490310634
548,41166914,EAT ON 8TH,Manhattan,2123528548,,40.750926696187,-74.00595522399999
550,50036849,ENERGY FUEL,Brooklyn,7184918686,,40.615607962395,-74.031275141471
552,41098073,STOUT,Manhattan,2126296191,,40.749581420927,-73.98932051477199
554,50072972,CHINA ONE,Manhattan,2125880663,,40.763192746165,-73.948818921117
558,50033000,LAS MARGARITAS RESTAURANT,Brooklyn,7182383972,,40.633378778174,-74.02701413054
560,50085124,ROMEO'S ITALIAN RISTORANTE,Queens,7184582174,,40.748998079109995,-73.89144119818499
561,50097578,TASTE OF HONG KONG,Queens,9292827609,,40.761320327799,-73.830996650422
569,50035388,NATSUMI TAPAS,Manhattan,2128892182,,40.739628084204,-73.982555968231
571,50051480,WONDEE SIAM,Manhattan,2124599057,,40.765094643294,-73.987754888784
574,50002435,CIBO MARKET,Queens,9292591541,,40.648312826068,-73.788281497594
576,50076479,ESS & BENTCH,Brooklyn,7182214300,,40.66856373375,-73.942262672505
583,40395935,MCDONALD'S,Staten Island,7184943400,,40.607940746026,-74.162343406787
585,40557466,KENNEDY FRIED CHICKEN,Bronx,3475207275,,40.865410742505,-73.867569116686
589,50048885,SO GO CAFE,Manhattan,3473236633,,40.715961017887004,-73.992038631624
593,50000983,SABROSURA 2 RESTAURANT,Bronx,7185029878,,40.831958823223,-73.866006203466
596,50084080,COLLEGE OF MOUNT ST.VINCENT (HUDSON HEIGHTS; 1ST FL),Bronx,7184053400,,40.912822326386,-73.902504292365
598,50068243,GOLDA,Brooklyn,7184847065,,40.681445479141004,-73.955743078897
600,41225183,PARADIS TO GO,Manhattan,6464166709,,40.73261610875,-73.99007375633501
601,41547117,PICCOLI,Brooklyn,7187880006,,40.654875988716995,-73.973344740106
604,40365546,REBEN LUNCHEONETTE,Brooklyn,7183887696,,40.709039945161,-73.959151290226
606,41022790,ZABLOZKIS,Brooklyn,7183841903,,40.718284601897004,-73.959928419626
608,41040849,DISHES,Manhattan,2126875511,,40.755212255790006,-73.979061523713
611,40366661,BABY BO'S CANTINA,Manhattan,2127792656,,40.744979132961,-73.97574095227199
615,50054906,SWERVE FITNESS,Manhattan,9173883190,,40.756428345954,-73.979967131002
619,41379821,MCDONALD'S,Bronx,7182398660,,40.849526192129005,-73.845002370755
621,50073390,M&M BAKERY & HALAL,Queens,9178166830,,40.686437391783,-73.823658409565
626,50062488,SOHO PARK,Manhattan,2127574667,,40.762437515193,-73.985982941416
629,50058836,TOBY'S ESTATE COFFEE,Queens,3475310477,,40.747437066711,-73.941493898766
631,40393591,DON GIOVANNI RESTAURANT,Manhattan,2122429054,,40.747402494668,-74.004359714281
635,41456053,LA ABUNDANCIA BAKERY AND RESTAURAN,Queens,7182055021,,40.746943952474,-73.890343809394
638,50017760,PETER PAN DONUT & PASTRY SHOP,Brooklyn,7183893676,,40.726139892175,-73.95215591341
641,50057878,PICNIC GARDEN KOREAN BBQ BUFFET,Queens,7188865050,,40.764645686377,-73.810819218288
645,41053864,LACEY'S BRIDGE TAVERN,Staten Island,7182737514,,40.6338880893,-74.143181815335
650,50060139,SATIN DOLLS,Manhattan,2127655047,,40.758194456584,-73.989095331946
651,50015570,RANGOLI EXQUISITE INDIAN CUISINE,Manhattan,2126283800,,40.769256910152,-73.958034755906
656,50102597,TROPIANA NIGHT CLUB,Bronx,9176174424,,40.828229716218,-73.887394464013
657,50037817,FATTY DADDY TACO,Brooklyn,9292959361,,40.686515003519,-73.990617898765
661,41621807,"WEI WEST, BEANS & GREENS",Manhattan,2127861300,,40.714804609047,-74.016153324341
665,41469010,MOMENTO RESTAURANT,Queens,7187868297,,40.750801310952,-73.939881220293
668,50000923,DI FARA PIZZERIA,Brooklyn,7182581367,,40.625097400032,-73.962019937619
670,41466312,TERRI,Manhattan,2126478810,,40.742313468454,-73.991429199103
671,41274605,MELODY CAFE & RESTAURANT,Queens,7187771514,,40.7675016792,-73.912039207273
672,40829155,DB BISTRO MODERNE,Manhattan,2123912400,,40.755509134595,-73.981660252756
676,50067274,INTERNATIONAL FISH FRY,Brooklyn,7185522208,,40.696121451971,-73.942606553053
678,41567810,GREEN LAKE,Brooklyn,7182840088,,40.653282663991,-73.959387381228
680,41562415,THE COMFORT DINER,Manhattan,2128674555,,40.752441405529,-73.972489845978
681,50046003,THE PANDERING PIG,Manhattan,9179417033,,40.854546310597,-73.938051947153
683,40391259,SYBIL'S BAKERY,Queens,7188359235,,40.69068738245,-73.813918243139
685,50032768,La Dinastia Latin-Chinese Cuisine,Manhattan,2123623801,,40.778068073341,-73.980343330299
687,41551165,SUNRISE MART,Manhattan,6463809280,,40.752517190087,-73.980708220948
690,41679739,FRAME GOURMET EATERY,Manhattan,2122733730,,40.753092443731,-73.997704456924
693,50105067,JUNGLE BIRD,Manhattan,9177164590,,40.742681586184,-74.000371704163
694,50044248,678 DELI,Queens,7188801496,,40.70212937157,-73.816710136493
697,41718215,YAKITORI TOTTO,Manhattan,2122454555,,40.764997945255,-73.98282726729299
702,41591385,POPEYES,Queens,7182153308,,40.677664571163994,-73.828757893149
704,50055096,YOGURT CITY,Staten Island,7189809878,,40.570251199331004,-74.10995531852
706,41250529,GILBEY'S,Queens,7185458567,,40.76154342233,-73.92446122826
707,50074903,O CAFE ON 7TH,Manhattan,9175435374,,40.734856226941,-73.99700145879599
710,50009906,CLAUDETTE,Manhattan,2128682424,,40.733003473564,-73.995810819292
712,50064570,HONG MAN,Manhattan,2129250805,,40.715137680684,-73.993521322932
718,40729439,COSITAS RICAS,Queens,7184781500,,40.747371102615,-73.886459780596
727,41310253,NATURAL BLEND,Brooklyn,7187831737,,40.673831295091,-73.962990674061
729,50052257,TITAHS DELI GROCERY,Queens,7185652527,,40.757766870679,-73.862593348455
735,40675977,OSTERIA SERAFINA,Manhattan,2128328888,,40.762813621565,-73.971550588105
737,50057296,DUNKIN,Queens,2037314439,,40.781664120407,-73.830742604991
738,50074334,KAI FISH MARKET,Queens,6462493074,,40.73682435869001,-73.855917742126
743,50056613,SWEET MANGO,Queens,7188831688,,40.705073563359,-73.809391142512
744,50005923,SUPER STAR KTV,Queens,7183218885,,40.754520241513,-73.833861808807
746,50052223,DA NONNA ROSA,Brooklyn,7187886225,,40.67280834708,-73.976657735096
755,50071282,GOTTA GETTA PIZZA,Bronx,2017374712,,40.84709355383,-73.911640782701
756,50076237,ME BAKERY,Queens,9175631543,,40.752538637557,-73.785891649386
759,50014302,LIBERTY KENNEDY FRIED CHICKEN & PIZZA,Queens,7183223100,,40.6847988331,-73.830996632665
762,41021272,FIORE'S PIZZA,Manhattan,2129828663,,40.728664076097004,-74.000165968747
764,50045746,SILVER RICE,Brooklyn,3477899874,,40.659623513786,-73.96055849737199
769,41251040,THE BOILER ROOM,Manhattan,2122547536,,40.726113689106995,-73.989295427032
772,50081834,BAYA BAR,Staten Island,7182336301,,40.544786685215996,-74.165546373719
774,50059249,BARFLY,Manhattan,2124739660,,40.737045534638,-73.984454703186
776,50073690,SZECHUAN MOUNTAIN HOUSE,Manhattan,9173883866,,40.729001116838,-73.988609434844
780,50011616,BELLE HARBOR YACHT CLUB,Queens,7189454445,,40.581286550149,-73.847999717576
781,50002265,SUSHI NAKAZAWA,Manhattan,2129242212,,40.731650288851,-74.004596819487
784,40860175,BELVEDERE CAFE,Manhattan,2122457000,,40.761370012122,-73.987802503509
786,50087175,GREEN BLEND,Manhattan,3475300826,,40.749238739137,-73.995618510276
789,50043559,HAINA RESTAURANT,Bronx,3472695549,,40.848613374634,-73.91801843547499
791,50101083,SUSHI INOUE,Manhattan,6467660555,,40.810564900045,-73.943963311761
794,50056941,COARSE NYC,Manhattan,6468961404,,40.739217644362995,-74.003438986216
797,50015444,99 CENTS FRESH SLICE PIZZA,Manhattan,2123350803,,40.721181177899,-73.98765115235
802,41076171,CARVEL,Queens,7182055978,,40.745377080658,-73.906265376699
804,50001036,LAS DELICIAS,Queens,7187760673,,40.717850731464,-73.73729222136
807,50049271,TONY'S PIZZA,Brooklyn,7184567020,,40.701154518177,-73.922503052004
810,50081649,PAULIE GEE SLICE JOINT,Brooklyn,9293376385,,40.72834872650999,-73.95733180085999
812,40402428,DOWN TOWN ASSOCIATION,Manhattan,2124221982,,40.706516245366004,-74.008259601503
816,50077790,SALEM JAMAICAN RESTAURANT,Bronx,7186762575,,40.876596781574,-73.863952368383
820,50048227,THE FARM ON ADDERLEY,Brooklyn,7182873101,,40.639717865243,-73.967729844342
821,41703747,M2N BUFFET,Queens,7188032488,,40.747217551009996,-73.883872370178
822,41531118,ST JAMES THEATRE,Manhattan,2125825472,,40.758007665526,-73.987640689064
824,50000577,THE HIDEOUT,Brooklyn,7188364314,,40.622671744065,-74.025413977058
825,50080221,NEW SHANGHAI CHINESE RESTAURANT,Queens,7188460125,,40.708074116537,-73.827027510395
827,41034980,ISE,Manhattan,2122284152,,40.729097331220004,-73.99020777997599
828,41623468,POTBELLY SANDWICH SHOP,Manhattan,6462894204,,40.737392074845,-73.990996815711
832,40367789,DANI PIZZA AND RESTAURANT,Queens,7188462849,,40.708866954929,-73.830434010524
835,50005347,COLD CUT CITY BUNNY DELI 2,Bronx,7185432533,,40.879331136901,-73.90564546661601
838,41428009,LOS FLORENCIOS,Brooklyn,7183660399,,40.698979333198,-73.916699278041
843,50042162,MILE 17,Manhattan,2127721734,,40.769892329603,-73.95445658736999
847,50003572,TERRACE BAGELS,Brooklyn,7187683943,,40.660004712245005,-73.980706244244
853,41716909,STARBUCKS,Staten Island,7183561090,,40.521723942266995,-74.23504061746999
856,41721396,DIVINE BAR & GRILL,Brooklyn,7184555455,,40.697971250103,-73.937036750598
859,50038914,HARLEM NIGHTS,Manhattan,4136950608,,40.817261231563,-73.942256004382
866,41719380,JACKS COFFEE,Manhattan,2126752007,,40.740721615611,-74.006950301727
867,50070746,SOM BO,Manhattan,9173856399,,40.741751107194,-74.00107540085101
870,50066655,DOKODEMO,Manhattan,9172615228,,40.726325076985,-73.9897427712
874,50006046,LITTLE CAESARS,Brooklyn,7184843666,,40.653439806946004,-73.88680766189
876,41529929,DUNKIN,Brooklyn,9178863110,,40.596431486755,-73.933362783611
878,50053554,NICKY'S VIETNAMESE SANDWICHES,Brooklyn,7183888890,,40.713567616903,-73.94927560817
882,40510389,ZARO'S BREAD BASKET,Manhattan,2122920405,,40.750059234828,-73.992106724456
886,41491686,JOSE SEAFOOD,Queens,6467407130,,40.747536765691,-73.884687455873
888,50082929,GIANNI'S,Queens,7184784783,,40.755484246595,-73.886081341108
890,41563704,FDR 99¢ SLICE PIZZA,Manhattan,2122535950,,40.722838745852,-73.985345523919
893,50000088,MAHARLIKA,Manhattan,6463927880,,40.726826955442,-73.985853359738
896,41603460,BAREBURGER,Brooklyn,7187682273,,40.671803926156,-73.977494431408
